emoji_handle,emoji_link,section
bowtie,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bowtie.png,People
smile,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smile.png,People
simple_smile,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/simple_smile.png,People
laughing,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/laughing.png,People
blush,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/blush.png,People
smiley,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smiley.png,People
relaxed,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/relaxed.png,People
smirk,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smirk.png,People
heart_eyes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/heart_eyes.png,People
kissing_heart,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_heart.png,People
kissing_closed_eyes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_closed_eyes.png,People
flushed,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/flushed.png,People
relieved,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/relieved.png,People
satisfied,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/satisfied.png,People
grin,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/grin.png,People
wink,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/wink.png,People
stuck_out_tongue_winking_eye,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue_winking_eye.png,People
stuck_out_tongue_closed_eyes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue_closed_eyes.png,People
grinning,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/grinning.png,People
kissing,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing.png,People
kissing_smiling_eyes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_smiling_eyes.png,People
stuck_out_tongue,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue.png,People
sleeping,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sleeping.png,People
worried,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/worried.png,People
frowning,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/frowning.png,People
anguished,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/anguished.png,People
open_mouth,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/open_mouth.png,People
grimacing,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/grimacing.png,People
confused,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/confused.png,People
hushed,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hushed.png,People
expressionless,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/expressionless.png,People
unamused,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/unamused.png,People
sweat_smile,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat_smile.png,People
sweat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat.png,People
disappointed_relieved,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/disappointed_relieved.png,People
weary,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/weary.png,People
pensive,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pensive.png,People
disappointed,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/disappointed.png,People
confounded,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/confounded.png,People
fearful,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fearful.png,People
cold_sweat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cold_sweat.png,People
persevere,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/persevere.png,People
cry,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cry.png,People
sob,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sob.png,People
joy,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/joy.png,People
astonished,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/astonished.png,People
scream,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/scream.png,People
