name,number,type
22989-CRM产品经理（深圳）,2,产品/项目类
22989-报价器产品经理（深圳）,2,产品/项目类
GY0-【国际业务部】推荐算法资深工程师(深圳) ,1,技术类
31677-SMAD-腾讯地图移动端高级交互设计师（北京）,1,设计类
31677-SMAD-腾讯地图移动端高级UI设计师（北京）,1,设计类
15581-欢乐游戏2D角色设计师（深圳）,1,设计类
19837-电视剧宣传策划经理,1,市场类
22989-腾讯云To B流程和系统建设产品经理,2,产品/项目类
22989-大数据及人工智能web前端开发,1,技术类
22989-大数据及人工智能web前端开发,1,技术类
25924-产品运营经理（深圳）,1,产品/项目类
23486-社区产品高级产品经理,1,产品/项目类
TEG10-服务器架构工程师,1,技术类
15573-移动游戏渠道运营(上海),1,产品/项目类
PCG09-信息流视频内容专家(CV方向),1,技术类
PCG09-信息流视频解决方案专家,1,技术类
27441-基金财务经理（深圳）,1,职能类
25928-效能开发工程师,1,技术类
TEG09-计算平台研发工程师（深圳）,2,技术类
26699-智慧零售行业系统架构师,1,技术类
TEG13-C++后台开发工程师（深圳）,1,技术类
PCG19-腾讯视频搜索后台研发工程师（深圳）,1,技术类
29777-腾讯云交通行业策略专家（北京）,1,产品/项目类
29777-腾讯云工业行业方案架构师（深圳）,2,技术类
26699-智慧零售行业系统架构师,2,技术类
30936-功能游戏高级产品策划 ,1,产品/项目类
29912-Mac桌面开发工程师 ?,2,技术类
32032-资深UI美术（上海）,1,设计类
19822-影视策划经理,2,产品/项目类
29777-腾讯云交通行业策略专家（上海）,1,产品/项目类
CSIG16-自动驾驶云平台高级测试工程师（北京）,1,技术类
PCG04-后台开发工程师（北京）,1,技术类
TME-节目编导,1,内容编辑类
21229-代理游戏高级产品运营,1,产品/项目类
23671-企鹅号平台产品经理（深圳）,1,产品/项目类
TME-全民K歌海外市场与用户研究经理（深圳）,1,市场类
TME-粉丝经济高级产品策划（深圳）,1,产品/项目类
26699-智慧零售高级产品策划（深圳）,1,产品/项目类
GY0-【国际业务部】前端开发工程师（深圳）,1,技术类
GY0-【国际业务部】Android开发工程师（深圳）,1,技术类
GY0-【国际业务部】iOS客户端开发工程师(深圳),1,技术类
26699-智慧零售行业系统开发,2,技术类
30624-腾讯广告华东服饰用品行业销售（上海）,1,市场类
32032-高级技术美术（上海）,1,设计类
32032-资深后台开发工程师（上海）,1,技术类
32032-移动客户端UE开发工程师（上海）,1,技术类
20503-优图运维开发工程师(上海）,1,技术类
TEG05-Linux后台开发工程师（深圳）,2,技术类
23516-移动游戏社区运营(深圳）,1,产品/项目类
21882-腾讯医典垂直搜索产品总监（深圳）,1,产品/项目类
